,continent,country,year,life expectancy,population,fertility
0,Africa,Algeria,1950,42.77,8872247.0,7.65
1,Africa,Algeria,1951,43.03,9039913.0,7.65
2,Africa,Algeria,1952,43.5,9216395.0,7.65
3,Africa,Algeria,1953,43.96,9405445.0,7.65
4,Africa,Algeria,1954,44.44,9609507.0,7.65
5,Africa,Algeria,1955,44.93,9829717.0,7.65
6,Africa,Algeria,1956,45.44,10065829.0,7.65
7,Africa,Algeria,1957,45.94,10316288.0,7.65
8,Africa,Algeria,1958,46.45,10578453.0,7.65
9,Africa,Algeria,1959,46.97,10848971.0,7.65
10,Africa,Algeria,1960,47.5,11124892.0,7.65
11,Africa,Algeria,1961,48.02,11404859.0,7.65
12,Africa,Algeria,1962,48.55,11690152.0,7.65
13,Africa,Algeria,1963,49.07,11985130.0,7.65
14,Africa,Algeria,1964,49.58,12295973.0,7.65
15,Africa,Algeria,1965,50.09,12626953.0,7.66
16,Africa,Algeria,1966,50.58,12980269.0,7.66
17,Africa,Algeria,1967,51.05,13354197.0,7.66
18,Africa,Algeria,1968,51.49,13744383.0,7.66
19,Africa,Algeria,1969,51.95,14144437.0,7.65
20,Africa,Algeria,1970,52.41,14550033.0,7.64
21,Africa,Algeria,1971,52.88,14960111.0,7.62
22,Africa,Algeria,1972,53.38,15377095.0,7.59
23,Africa,Algeria,1973,53.91,15804428.0,7.55
24,Africa,Algeria,1974,54.52,16247113.0,7.49
25,Africa,Algeria,1975,55.24,16709098.0,7.42
26,Africa,Algeria,1976,56.11,17190236.0,7.34
27,Africa,Algeria,1977,57.13,17690184.0,7.24
28,Africa,Algeria,1978,58.28,18212331.0,7.14
29,Africa,Algeria,1979,59.56,18760761.0,7.02
30,Africa,Algeria,1980,60.92,19337723.0,6.89
31,Africa,Algeria,1981,62.31,19943667.0,6.74
32,Africa,Algeria,1982,63.69,20575701.0,6.58
33,Africa,Algeria,1983,64.97,21228288.0,6.39
34,Africa,Algeria,1984,66.15,21893857.0,6.19
35,Africa,Algeria,1985,67.18,22565908.0,5.98
36,Africa,Algeria,1986,68.04,23241276.0,5.75
37,Africa,Algeria,1987,68.75,23917889.0,5.51
38,Africa,Algeria,1988,69.33,24591493.0,5.26
39,Africa,Algeria,1989,69.81,25257671.0,5.01
40,Africa,Algeria,1990,70.2,25912364.0,4.76
41,Africa,Algeria,1991,70.5,26554277.0,4.5
42,Africa,Algeria,1992,70.9,27180921.0,4.24
43,Africa,Algeria,1993,71.2,27785977.0,3.97
44,Africa,Algeria,1994,71.4,28362015.0,3.71
45,Africa,Algeria,1995,71.6,28904300.0,3.45
46,Africa,Algeria,1996,72.1,29411839.0,3.21
47,Africa,Algeria,1997,72.4,29887717.0,2.99
48,Africa,Algeria,1998,72.6,30336880.0,2.79
49,Africa,Algeria,1999,73.0,30766551.0,2.63
50,Africa,Algeria,2000,73.3,31183658.0,2.51
51,Africa,Algeria,2001,73.5,31590320.0,2.44
52,Africa,Algeria,2002,73.8,31990387.0,2.41
53,Africa,Algeria,2003,73.9,32394886.0,2.41
54,Africa,Algeria,2004,74.4,32817225.0,2.45
55,Africa,Algeria,2005,74.8,33267887.0,2.51
56,Africa,Algeria,2006,75.0,33749328.0,2.58
57,Africa,Algeria,2007,75.3,34261971.0,2.66
58,Africa,Algeria,2008,75.5,34811059.0,2.73
59,Africa,Algeria,2009,75.7,35401790.0,2.78
60,Africa,Algeria,2010,76.0,36036159.0,2.82
61,Africa,Algeria,2011,76.1,36717132.0,2.83
62,Africa,Algeria,2012,76.2,37439427.0,2.82
63,Africa,Algeria,2013,76.3,38186135.0,2.8
64,Africa,Algeria,2014,76.3,38934334.0,2.76
65,Africa,Algeria,2015,76.4,39666519.0,2.71
66,Africa,Angola,1950,30.7,4354882.0,6.93
67,Africa,Angola,1951,31.05,4439705.0,6.94
68,Africa,Angola,1952,31.59,4529381.0,6.98
69,Africa,Angola,1953,32.14,4621691.0,7.02
70,Africa,Angola,1954,32.69,4714970.0,7.06
71,Africa,Angola,1955,33.24,4808114.0,7.1
72,Africa,Angola,1956,33.78,4900594.0,7.14
73,Africa,Angola,1957,34.33,4992439.0,7.19
74,Africa,Angola,1958,34.88,5084166.0,7.23
75,Africa,Angola,1959,35.43,5176662.0,7.28
76,Africa,Angola,1960,35.98,5270844.0,7.32
77,Africa,Angola,1961,36.53,5367287.0,7.35
78,Africa,Angola,1962,37.08,5465905.0,7.39
79,Africa,Angola,1963,37.63,5565808.0,7.41
